date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2011-10-04,13371,112,2433471,21727.4196428571,0.83346608,36702419.3285474472120471931,44035888.19543426677148727002,1689334.4045971,0.000655797883131202,0.003250662633141122839035504771,0,0,3.56885208,17.6901060495539841254928,5600,27.6050213420376,27758.111475862096,5600,27758.111475862096,49.22862848,46.28708149384732,1,4.95680562068966,7986.8715588151135,-39.576724766803096,7404449.98999999,5442,11956,150409.43082897,745550.3121377711228769074502,33.1114822177484,164.1271811663009976923003615,1.032006345,5.1154548514833923958927,395880.8813954,1962304.578024295370811151564,0.106745817717328,0.0880665973921931,0.0838884308334464
2011-10-05,13475,145,2475744,17074.0965517241,0.82223206,36206652.00537118164315279082,44034590.51074118458741254497,1689334.4045971,0.000687570696314671,0.003358829008748919434095608963,0,0,3.88064901,18.9572309253788860250859,7250,35.7036847628799,35416.7366991525275,7250,35416.7366991525275,56.56202321,46.60449176428088,1,4.88506713091759,7856.135392373924,-35.700232749348615,7411699.98999999,5644,12783,131036.68450439,640123.0004168138810350832201,30.9049561319244,150.9727853825139087820645102,1.01221888,4.9447571799822163220992,395058.05423439,1929885.11554467722458563392,0.106735449119561,0.0863763441310147,0.0793649544251864
2011-10-06,14660,128,2610374,20393.546875,0.79686105,35088846.55107889191000214267,44033833.04724250541192684426,1689334.4045971,0.00144215579247238,0.006821636722749673446652666006,0,0,8.35296635,39.5109198981659905380615,6400,31.4905434430522,30273.064292694336,6400,30273.064292694336,40.12991524,46.32460898394903,1,4.73016629573349,7430.912745953653,-30.911479599945224,7418099.98999999,5792,13394,184852.12204844,874381.2774083444283311102556,39.4783162855114,186.7390011060325713305227568,1.02,4.8247696216481598,528772.56832814,2501182.180814201719184307409,0.106779855896529,0.0857514381064874,0.0787190072835821
2011-10-07,13622,138,2473042,17920.5942028986,0.72247318,31749565.45197952492096913133,43945666.49759608247201223484,1689334.4045971,0.000725586779086367,0.00310263501208350148524343069,0,0,4.06618831,17.3871666077159394669123,6900,33.9191919648744,29504.646722384577,6900,29504.646722384577,45.41173917,46.58586450361606,1,4.27603575686733,6282.142920697507,-40.30359482752016,7424999.98999999,5604,12823,163503.97773582,699148.8551884061469895287606,29.4429651680293,125.8991718466926018348376528,1.01714616,4.3493533501202983389528,377547.14234964,1614405.080590140456701953261,0.107062805619684,0.0866547731641712,0.0729242139541014
2011-10-08,12331,119,2264396,19028.5378151261,0.67368961,29584491.89710694573291545845,43914128.20706097334547279122,1689334.4045971,0.000639415118320611,0.002545673354322200269953456186,0,0,3.35053522,13.3393283766483228853012,5950,29.2257383365865,23688.455315224987,5950,23688.455315224987,58.80943959,46.75147336445043,1,3.98125299415546,4614.158048883678,-40.38416164312365,7430949.98999999,5240,11872,126356.4155938,503056.857913567906205412148,23.9709866593927,95.43456241056777468281298914,1.008914515,4.0167439336906537605019,284583.55362031,1132999.124938260085953953393,0.10695475372369,0.0694786723111991,0.0731134528840995
2011-10-09,12398,127,2339679,18422.6692913386,0.6969726,30579460.29286225703082016517,43874695.04905869453317533112,1689334.4045971,0.000534306756906077,0.002196874171942257518308494257,0,0,2.90128569,11.9290267536464660954046,6350,31.1638632718378,26108.879986119209,6350,26108.879986119209,58.83963107,46.9360945111899,1,4.11163464348334,4283.4058032871435,-17.549258588694265,7437299.98999999,5430,12046,126399.50072993,519708.5661201779096477943662,25.4598148507554,104.681456757037524269286315,1.023050735,4.2064108440670939472549,306688.9296922,1260992.828095275874162027948,0.106846106740224,0.0693676797478658,0.0731033055502845
2011-10-10,13498,123,2447218,19896.081300813,0.69210157,30331779.46024070758959986072,43825618.57814506767784776181,1689334.4045971,0.00059660455402339,0.002431141175385629576470684927,0,0,3.41794749,13.9280077937842665053997,6150,30.1573867362008,25061.0192761543095,6150,25061.0192761543095,56.07897829,47.630471469217,1,4.07496248392753,4094.669930268929,-14.081926315633961,7443449.98999999,5729,13116,132731.55497108,540876.1069405156491739658324,22.8483568934119,93.10619716004045883509403961,1,4.07496248392753,299679.04901399,1221180.881951088700469116145,0.106750089610807,0.0556677523844569,0.0730773774466062
2011-10-11,13852,93,2741004,29473.1612903226,0.68231478,29858870.49788927167466674091,43761137.12997552935103738425,1689334.4045971,0.000903286792105703,0.003621208547703459521164411057,0,0,5.40075173,21.6512059067189915447759,4650,22.787690851073,18641.4989059760595,4650,18641.4989059760595,45.39911727,47.96555049503801,1,4.00892449590883,4119.9205220092945,-31.50537724992864,7448099.98999999,5979,13540,164058.25572286,657697.1601234484500043068538,23.7689939169077,95.28810195659924792561472499,0.98,3.9287460059906534,321832.17763493,1290200.900492352782610303432,0.10675163758171,0.0547527264681147,0.0724714193672599
2011-10-12,13370,120,2593515,21612.625,0.71047083,31055534.8247905994697488751,43711203.32527189338365189782,1689334.4045971,0.000842229386858749,0.003508925838014409132508967498,0,0,4.79396967,19.9728058699780196652759,6000,29.3798044423604,24997.41205493862,6000,24997.41205493862,47.71922926,48.03958667666851,1,4.16623534248977,4290.1320784929085,-31.595980982264976,7454099.98999999,5692,12733,156207.46827057,650797.0750696980842198170689,24.8654825298115,103.5954521237626072766587784,1.00726907,4.1965199988308021124139,316612.18905209,1319080.891891869988796822119,0.106698974829802,0.0552011050135567,0.0717899608576493
2011-10-13,11340,97,2034115,20970.2577319588,0.68913751,30111640.06092920899813069994,43694675.54407221399595357723,1689334.4045971,0.000782098572021586,0.003157317145771713209469346062,0,0,3.76815092,15.2119540083281088013728,4850,23.7332332616967,19579.358286528324,4850,19579.358286528324,49.34031865,47.972812760804324,1,4.03698109000584,3749.671873805477,-30.42714527340127,7458949.98999999,4818,10283,151173.52691939,610284.6694830662377323092376,27.9276007444287,112.7431960944916819416304636,1.07048193,4.3215153086029553144712,287179.51845496,1159338.285439656665094176966,0.106695798273491,0.0551362865671318,0.0715597181538812
2011-10-14,14662,139,2644558,19025.5971223022,0.68173462,29761174.42279672983172004553,43655072.45846087969527491944,1471377.28301042,0.000564866740331492,0.002251717489808242691400033388,0,0,3.37394904,13.4495085666246267552744,6950,33.9778191965843,27704.6521538574145,6950,27704.6521538574145,55.07988159,48.08538801391454,1,3.98628088544711,3808.1185151442264,-28.7837627878756,7465899.98999999,5973,12912,135546.76905324,540327.4945610444752287941364,27.7590260174497,110.6552748119887536816464354,1.14,4.5443602094097054,358424.54393731,1428780.908372396689159160674,0.106666922898246,0.0493086533815973,0.0715596113821235
2011-10-15,13000,134,2318650,17303.3582089552,0.65700741,28674896.08875117426570499509,43644706.98304036672898299719,1468195.42722083,0.000617027343376814,0.002367742817617132376105253065,0,0,3.35847983,12.8876241562900568877402,6700,32.726226524538,25710.168355289298,6700,25710.168355289298,63.24423913,48.13814135225695,1,3.83733856049094,3554.608152848514,-21.168209679849976,7472599.98999999,5443,12110,118154.63498708,453399.3369366540223053570552,23.8095950966193,91.36547737393324814694227914,1.034586385,3.9700582293194254398519,288334.19662006,1106435.930998332698002252256,0.106704867202709,0.0496480116906054,0.0715837682178615
2011-10-16,11949,119,2137020,17958.1512605042,0.61884987,26995633.8781329880936825346,43622266.04485505124749105688,1468195.42722083,0.000663985335813185,0.002396815565855694678224654296,0,0,3.21302504,11.5981905231756985523512,5950,29.0397203054599,21477.9632134131785,5950,21477.9632134131785,64.18987865,48.97490333086016,1,3.60974171654003,3474.001699544584,-25.282216610367847,7478549.98999999,4839,10665,116506.68528513,420559.0421295342207376087539,23.7706825123207,85.80602429535259643744974762,1.13,4.0790081396902339,253514.3289939,915121.249109934482618975817,0.106775503423004,0.0506211787541308,0.0717963937628692
